"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ZYDUSLIFE","EQ","02-Apr-2026","863.20","860.00","866.00","835.50","864.00","864.25","851.55","10,13,019","86,26,31,760.55","42,156","4,95,564","48.92"
"ZYDUSLIFE","EQ","01-Apr-2026","871.20","888.00","900.00","857.10","866.00","863.20","873.30","7,68,431","67,10,69,385.90","37,264","3,27,827","42.66"
"ZYDUSLIFE","EQ","30-Mar-2026","896.70","885.00","892.20","869.10","878.90","871.20","878.09","11,26,058","98,87,75,438.45","40,103","5,61,530","49.87"
"ZYDUSLIFE","EQ","27-Mar-2026","903.70","901.95","910.40","894.00","896.20","896.70","900.20","9,40,085","84,62,62,662.40","44,127","5,90,715","62.84"
"ZYDUSLIFE","EQ","25-Mar-2026","886.40","888.05","914.00","886.50","902.60","903.70","904.15","5,74,279","51,92,32,454.40","28,458","2,97,620","51.82"
"ZYDUSLIFE","EQ","24-Mar-2026","860.60","879.90","888.90","865.10","886.00","886.40","878.24","4,28,190","37,60,52,648.45","25,433","1,77,676","41.49"
"ZYDUSLIFE","EQ","23-Mar-2026","890.50","890.45","899.00","858.00","860.00","860.60","873.44","6,62,395","57,85,63,536.25","32,942","2,78,242","42.01"
"ZYDUSLIFE","EQ","20-Mar-2026","876.15","880.20","896.00","880.20","890.15","890.50","889.76","4,24,095","37,73,41,967.25","15,213","2,20,194","51.92"
"ZYDUSLIFE","EQ","19-Mar-2026","899.60","891.00","894.80","874.00","878.95","876.15","881.97","3,66,164","32,29,46,857.80","25,173","1,56,005","42.61"
"ZYDUSLIFE","EQ","18-Mar-2026","889.80","891.15","905.95","889.00","895.00","899.60","900.85","4,55,746","41,05,60,686.30","23,748","2,57,674","56.54"
"ZYDUSLIFE","EQ","17-Mar-2026","886.90","895.00","902.70","887.85","890.50","889.80","893.96","7,11,312","63,58,85,736.30","37,560","3,07,110","43.18"
"ZYDUSLIFE","EQ","16-Mar-2026","905.90","907.10","911.90","877.10","885.45","886.90","888.52","7,26,548","64,55,52,567.50","29,875","3,24,769","44.70"
"ZYDUSLIFE","EQ","13-Mar-2026","916.90","913.20","924.60","901.50","903.95","905.90","907.31","8,62,444","78,25,00,576.55","30,335","4,53,221","52.55"
"ZYDUSLIFE","EQ","12-Mar-2026","921.75","918.50","926.60","909.50","915.65","916.90","917.79","4,62,276","42,42,71,920.45","21,193","2,60,388","56.33"
"ZYDUSLIFE","EQ","11-Mar-2026","923.10","923.10","936.15","918.00","918.00","921.75","928.24","5,65,317","52,47,50,732.55","22,004","2,96,767","52.50"
"ZYDUSLIFE","EQ","10-Mar-2026","908.85","915.00","927.00","909.00","925.85","923.10","920.45","5,49,015","50,53,40,145.00","23,416","2,92,943","53.36"
"ZYDUSLIFE","EQ","09-Mar-2026","913.05","888.00","911.90","885.10","908.05","908.85","898.82","4,82,098","43,33,20,508.40","22,881","2,31,373","47.99"
"ZYDUSLIFE","EQ","06-Mar-2026","914.65","914.65","919.50","905.80","910.55","913.05","913.60","4,56,550","41,71,04,646.80","18,885","2,47,521","54.22"
"ZYDUSLIFE","EQ","05-Mar-2026","896.90","900.00","918.00","898.10","913.65","914.65","911.50","4,65,436","42,42,45,449.20","19,145","2,43,764","52.37"
"ZYDUSLIFE","EQ","04-Mar-2026","906.90","894.00","903.90","889.00","896.80","896.90","895.44","12,77,388","1,14,38,26,935.45","45,067","8,50,523","66.58"
"ZYDUSLIFE","EQ","02-Mar-2026","921.70","893.65","911.45","893.00","905.40","906.90","904.44","5,18,652","46,90,90,948.95","29,018","2,46,875","47.60"
"ZYDUSLIFE","EQ","27-Feb-2026","938.50","939.90","939.90","916.55","922.85","921.70","924.04","10,44,991","96,56,11,884.55","37,922","5,78,188","55.33"
"ZYDUSLIFE","EQ","26-Feb-2026","919.65","928.00","947.55","922.25","938.20","938.50","935.82","14,36,917","1,34,47,02,480.55","41,137","3,27,817","22.81"
"ZYDUSLIFE","EQ","25-Feb-2026","903.85","903.50","921.00","902.10","918.70","919.65","914.03","5,64,586","51,60,47,930.25","22,304","3,24,833","57.53"
"ZYDUSLIFE","EQ","24-Feb-2026","907.95","902.05","907.00","899.10","907.00","903.85","903.58","3,69,018","33,34,36,793.90","17,701","1,98,100","53.68"
"ZYDUSLIFE","EQ","23-Feb-2026","900.75","906.95","910.05","900.00","905.30","907.95","905.73","3,54,284","32,08,85,301.90","14,459","1,54,015","43.47"
"ZYDUSLIFE","EQ","20-Feb-2026","902.40","905.80","908.00","898.30","902.00","900.75","901.86","5,31,745","47,95,60,995.80","17,549","1,29,952","24.44"
"ZYDUSLIFE","EQ","19-Feb-2026","910.05","919.75","919.75","900.30","901.35","902.40","910.98","7,36,002","67,04,84,157.55","25,147","1,85,181","25.16"
"ZYDUSLIFE","EQ","18-Feb-2026","906.65","910.00","912.90","900.20","912.50","910.05","906.37","2,91,236","26,39,66,916.30","16,863","1,38,437","47.53"
"ZYDUSLIFE","EQ","17-Feb-2026","910.45","910.00","914.15","903.55","906.00","906.65","908.01","2,34,313","21,27,59,596.05","15,069","81,702","34.87"
"ZYDUSLIFE","EQ","16-Feb-2026","904.70","905.00","916.45","905.00","910.00","910.45","909.92","4,38,645","39,91,30,952.15","14,408","1,59,192","36.29"
"ZYDUSLIFE","EQ","13-Feb-2026","920.95","920.95","923.40","897.30","906.50","904.70","906.34","4,74,515","43,00,73,486.75","19,709","1,86,452","39.29"
"ZYDUSLIFE","EQ","12-Feb-2026","898.30","900.30","926.20","896.05","919.50","920.95","917.76","16,14,220","1,48,14,58,698.80","46,818","4,57,687","28.35"
"ZYDUSLIFE","EQ","11-Feb-2026","887.30","888.90","899.80","882.00","899.00","898.30","891.64","8,43,961","75,25,10,201.80","35,435","2,93,520","34.78"
"ZYDUSLIFE","EQ","10-Feb-2026","923.45","920.00","920.00","884.30","887.00","887.30","893.60","22,73,207","2,03,13,29,073.35","67,864","7,56,641","33.29"
"ZYDUSLIFE","EQ","09-Feb-2026","888.15","897.45","933.35","884.00","922.00","923.45","916.65","20,82,620","1,90,90,29,544.70","74,341","4,73,258","22.72"
"ZYDUSLIFE","EQ","06-Feb-2026","905.00","905.00","905.00","884.00","887.00","888.15","888.50","4,92,792","43,78,43,399.50","34,496","2,55,460","51.84"
"ZYDUSLIFE","EQ","05-Feb-2026","905.25","909.25","910.00","896.60","905.00","905.00","905.14","4,19,002","37,92,56,375.10","29,048","1,90,119","45.37"
"ZYDUSLIFE","EQ","04-Feb-2026","902.90","905.20","912.50","898.65","905.50","905.25","906.10","4,95,453","44,89,30,335.60","30,316","2,01,530","40.68"
"ZYDUSLIFE","EQ","03-Feb-2026","879.65","901.00","916.85","895.25","903.40","902.90","903.57","10,50,230","94,89,59,516.20","34,998","5,35,315","50.97"
"ZYDUSLIFE","EQ","02-Feb-2026","878.10","876.30","882.00","863.65","877.50","879.65","873.21","4,05,651","35,42,17,536.65","32,649","1,94,206","47.88"
"ZYDUSLIFE","EQ","01-Feb-2026","885.30","881.00","897.00","875.95","878.35","878.10","884.04","1,73,242","15,31,53,118.75","13,357","56,003","32.33"
"ZYDUSLIFE","EQ","30-Jan-2026","890.70","884.25","896.15","882.45","884.00","885.30","886.61","6,62,055","58,69,84,039.65","33,881","4,25,290","64.24"
"ZYDUSLIFE","EQ","29-Jan-2026","896.90","893.00","894.00","881.15","891.00","890.70","887.50","4,03,045","35,77,03,557.05","25,326","1,97,821","49.08"
"ZYDUSLIFE","EQ","28-Jan-2026","893.35","892.50","899.20","886.45","897.40","896.90","892.16","3,13,242","27,94,61,624.95","24,085","1,69,184","54.01"
"ZYDUSLIFE","EQ","27-Jan-2026","882.00","890.00","894.95","879.90","891.90","893.35","890.11","4,90,213","43,63,44,909.25","34,511","2,58,671","52.77"
"ZYDUSLIFE","EQ","23-Jan-2026","885.30","886.50","897.15","880.00","883.00","882.00","886.67","4,60,331","40,81,62,350.60","34,182","1,95,549","42.48"
"ZYDUSLIFE","EQ","22-Jan-2026","876.25","876.25","888.00","875.80","885.80","885.30","884.30","4,69,855","41,54,91,633.50","40,023","2,35,763","50.18"
"ZYDUSLIFE","EQ","21-Jan-2026","873.40","868.00","884.00","868.00","876.70","876.25","876.49","9,02,659","79,11,69,841.80","58,873","4,33,596","48.04"
"ZYDUSLIFE","EQ","20-Jan-2026","881.10","881.20","888.00","869.20","875.20","873.40","878.36","8,99,558","79,01,36,604.35","50,696","4,47,807","49.78"
"ZYDUSLIFE","EQ","19-Jan-2026","868.10","868.10","882.95","855.95","878.60","881.10","870.42","6,06,193","52,76,41,331.35","26,104","2,34,747","38.72"
"ZYDUSLIFE","EQ","16-Jan-2026","883.75","888.00","891.00","865.40","868.00","868.10","877.06","10,52,948","92,34,94,808.45","54,117","6,23,171","59.18"
"ZYDUSLIFE","EQ","14-Jan-2026","900.70","900.70","902.00","881.00","885.00","883.75","886.22","7,28,209","64,53,56,445.50","48,601","3,73,339","51.27"
"ZYDUSLIFE","EQ","13-Jan-2026","895.05","902.00","902.05","885.45","900.10","900.70","895.72","4,93,965","44,24,53,818.35","29,547","2,14,592","43.44"
"ZYDUSLIFE","EQ","12-Jan-2026","894.90","888.00","898.30","881.00","897.00","895.05","890.45","4,24,551","37,80,43,316.15","29,419","1,46,984","34.62"
"ZYDUSLIFE","EQ","09-Jan-2026","907.55","906.95","913.55","890.50","893.60","894.90","898.25","7,97,148","71,60,41,220.00","40,195","4,55,363","57.12"
"ZYDUSLIFE","EQ","08-Jan-2026","927.55","928.10","930.00","905.55","908.00","907.55","917.11","4,30,365","39,46,92,445.50","22,240","2,07,291","48.17"
"ZYDUSLIFE","EQ","07-Jan-2026","931.05","928.00","941.00","923.20","927.90","927.55","931.35","5,18,054","48,24,91,453.40","24,556","2,08,291","40.21"
"ZYDUSLIFE","EQ","06-Jan-2026","921.95","921.95","933.10","917.75","931.40","931.05","927.59","4,50,775","41,81,36,029.05","21,133","2,54,179","56.39"
"ZYDUSLIFE","EQ","05-Jan-2026","916.90","915.10","924.85","911.45","922.00","921.95","919.67","4,42,298","40,67,70,000.50","24,652","2,45,150","55.43"
"ZYDUSLIFE","EQ","02-Jan-2026","915.05","918.85","918.85","912.00","917.95","916.90","915.71","2,62,095","24,00,03,430.50","14,651","1,58,615","60.52"
"ZYDUSLIFE","EQ","01-Jan-2026","914.35","919.80","921.15","907.10","915.65","915.05","912.60","4,72,472","43,11,80,008.00","29,152","2,16,585","45.84"
"ZYDUSLIFE","EQ","31-Dec-2025","901.45","902.00","915.70","902.00","914.00","914.35","911.59","3,83,442","34,95,42,953.85","19,204","1,87,932","49.01"
"ZYDUSLIFE","EQ","30-Dec-2025","904.60","904.00","906.00","896.75","902.40","901.45","900.72","7,21,717","65,00,67,836.75","37,282","4,20,644","58.28"