train_start,train_end,test_start,test_end,AUC,Precision
2020-07-06,2020-10-30,2020-12-02,2020-12-31,0.5172047274807572,0.7929745889387145
2020-08-04,2020-12-01,2021-01-01,2021-02-01,0.5189239752312631,0.6805648957632818
2020-09-02,2020-12-31,2021-02-02,2021-03-02,0.4896620919482567,0.4945054945054945
2020-10-01,2021-02-01,2021-03-03,2021-04-05,0.4789988073151339,0.4454022988505747
2020-11-02,2021-03-02,2021-04-06,2021-05-06,0.5548159822007972,0.8006246746486205
2020-12-02,2021-04-05,2021-05-07,2021-06-07,0.5324553072625698,0.7511111111111111
2021-01-01,2021-05-06,2021-06-08,2021-07-06,0.5440524646289359,0.5791925465838509
2021-02-02,2021-06-07,2021-07-07,2021-08-05,0.5438525104865245,0.6524064171122995
2021-03-03,2021-07-06,2021-08-06,2021-09-06,0.5483462804029988,0.7862928348909657
2021-04-06,2021-08-05,2021-09-07,2021-10-06,0.4740046712726068,0.5801944106925881
2021-05-07,2021-09-06,2021-10-07,2021-11-08,0.4215755499627144,0.36196682464454977
2021-06-08,2021-10-06,2021-11-09,2021-12-08,0.44429618122377057,0.3739786297925833
2021-07-07,2021-11-08,2021-12-09,2022-01-06,0.4796314286417398,0.6185784658691063
2021-08-06,2021-12-08,2022-01-07,2022-02-07,0.5112661974084147,0.2808842652795839
2021-09-07,2022-01-06,2022-02-08,2022-03-09,0.4427914105470102,0.5833333333333334
2021-10-07,2022-02-07,2022-03-10,2022-04-08,0.45396409423826845,0.5335929892891919
2021-11-09,2022-03-09,2022-04-11,2022-05-12,0.4530001185369016,0.25299401197604793
2021-12-09,2022-04-08,2022-05-13,2022-06-10,0.557399790417365,0.33497884344146683
2022-01-07,2022-05-12,2022-06-13,2022-07-11,0.5283473382799273,0.8533653846153846
2022-02-08,2022-06-10,2022-07-12,2022-08-10,0.5285785387883808,0.8220675944333996
2022-03-10,2022-07-11,2022-08-11,2022-09-12,0.5007098292673815,0.4300813008130081
2022-04-11,2022-08-10,2022-09-13,2022-10-12,0.5424907912332331,0.594733829421866
2022-05-13,2022-09-12,2022-10-13,2022-11-14,0.4772891538104718,0.6868263473053893
2022-06-13,2022-10-12,2022-11-15,2022-12-13,0.46432488839190444,0.39615384615384613
2022-07-12,2022-11-14,2022-12-14,2023-01-11,0.4454084626956967,0.42228571428571426
2022-08-11,2022-12-13,2023-01-12,2023-02-10,0.49682160341106496,0.4017278617710583
2022-09-13,2023-01-11,2023-02-13,2023-03-14,0.454597175453586,0.451063829787234
2022-10-13,2023-02-10,2023-03-15,2023-04-18,0.577309330135547,0.8830275229357798
2022-11-15,2023-03-14,2023-04-19,2023-05-18,0.48506730522636854,0.7569444444444444
2022-12-14,2023-04-18,2023-05-19,2023-06-16,0.46217470097861546,0.7547592385218365
2023-01-12,2023-05-18,2023-06-19,2023-07-18,0.5702847272524656,0.6774744027303754
2023-02-13,2023-06-16,2023-07-19,2023-08-17,0.4577862904234821,0.5802047781569966
2023-03-15,2023-07-18,2023-08-18,2023-09-15,0.46853408798559304,0.5706521739130435
2023-04-19,2023-08-17,2023-09-18,2023-10-18,0.5306137666444672,0.42864502833590934
2023-05-19,2023-09-15,2023-10-19,2023-11-17,0.47346211931547455,0.9283870967741935
2023-06-19,2023-10-18,2023-11-20,2023-12-19,0.44775112825881536,0.8493475682087782
2023-07-19,2023-11-17,2023-12-20,2024-01-18,0.4707881093624574,0.6751765344921239
2023-08-18,2023-12-19,2024-01-19,2024-02-19,0.4597473840275996,0.6555299539170507
2023-09-18,2024-01-18,2024-02-20,2024-03-19,0.46595620217874356,0.5653638814016172
2023-10-19,2024-02-19,2024-03-20,2024-04-23,0.5419599112941684,0.6299045599151644
2023-11-20,2024-03-19,2024-04-24,2024-05-23,0.5871028625353886,0.7369020501138952
2023-12-20,2024-04-23,2024-05-24,2024-06-24,0.45400680791499654,0.740880503144654
2024-01-19,2024-05-23,2024-06-25,2024-07-24,0.4642054871311582,0.5309904153354632
2024-02-20,2024-06-24,2024-07-25,2024-08-23,0.47395004218968834,0.63342776203966
2024-03-20,2024-07-24,2024-08-26,2024-09-23,0.49247384041244074,0.5047353760445682
2024-04-24,2024-08-23,2024-09-24,2024-10-23,0.38819353433345355,0.15466983938132065
2024-05-24,2024-09-23,2024-10-24,2024-11-25,0.4672379445473774,0.5473766640563822
2024-06-25,2024-10-23,2024-11-26,2024-12-24,0.6045914585137846,0.35435435435435436
2024-07-25,2024-11-25,2024-12-26,2025-01-23,0.4893126604914068,0.32346723044397463
2024-08-26,2024-12-24,2025-01-24,2025-02-20,0.4327265996827076,0.3505866114561767
2024-09-24,2025-01-23,2025-02-21,2025-03-25,0.47373877662800024,0.7448453608247423
2024-10-24,2025-02-20,2025-03-26,2025-04-29,0.5252069833984794,0.7393483709273183
2024-11-26,2025-03-25,2025-04-30,2025-05-29,0.4881139545015438,0.5454545454545454
2024-12-26,2025-04-29,2025-05-30,2025-06-27,0.6188038886343972,0.6037491919844861
2025-01-24,2025-05-29,2025-06-30,2025-07-28,0.4959833495003909,0.29949238578680204
2025-02-21,2025-06-27,2025-07-29,2025-08-28,0.5352112970711297,0.6047904191616766
2025-03-26,2025-07-28,2025-08-29,2025-09-26,0.5408080095249297,0.5879828326180258
2025-04-30,2025-08-28,2025-09-29,2025-10-29,0.45000422584526967,0.4906609195402299
2025-05-30,2025-09-26,2025-10-30,2025-11-28,0.4467447072128257,0.3836431226765799
2025-06-30,2025-10-29,2025-12-01,2025-12-30,0.48939829174598515,0.5146831530139103
2025-07-29,2025-11-28,2025-12-31,2026-01-30,0.5074647741715773,0.548704200178731
